Name	ID	Organism	log2FoldChange	Base
AIF1	ENSG00000204472	Mus musculus	-1.6479500931634334	AC/HC Precursor
AIF1	ENSG00000204472	Macaca fascicularis	-1.5739695571320942	Pericyte
AIF1	ENSG00000204472	Macaca fascicularis	2.671279357476927	Horizontal Cell
AIF1	ENSG00000204472	Mus musculus	-1.4876360850286894	Rod Bipolar Cell
AIF1	ENSG00000204472	Mus musculus	-0.8609779730460103	Horizontal Cell
AIF1	ENSG00000204472	Homo sapiens	-1.0567472096253054	Neurogenic Cell
AIF1	ENSG00000204472	Homo sapiens	-0.553067379094384	Horizontal Cell
AIF1	ENSG00000204472	Homo sapiens	0.3660436421361626	RPC
AIF1	ENSG00000204472	Mus musculus	-0.41079190384369435	Pericyte
AIF1	ENSG00000204472	Mus musculus	0.3738892839887499	Muller Glia
AIF1	ENSG00000204472	Mus musculus	-0.1204198054109894	Amacrine Cell
AIF1	ENSG00000204472	Macaca fascicularis	-1.213974533089222	Melanocyte
ARR3	ENSG00000120500	Homo sapiens	11.843240445093208	Cone
ARR3	ENSG00000120500	Macaca fascicularis	9.830690835401716	Cone
ARR3	ENSG00000120500	Mus musculus	8.532282671540338	Cone
ARR3	ENSG00000120500	Macaca fascicularis	-8.08888364589766	Retinal Ganglion Cell
ARR3	ENSG00000120500	Mus musculus	5.879325759671498	Rod
ARR3	ENSG00000120500	Homo sapiens	3.591655233638013	Rod
ARR3	ENSG00000120500	Macaca fascicularis	-4.39218411149672	Muller Glia
ARR3	ENSG00000120500	Macaca fascicularis	3.590853528456604	Rod
ARR3	ENSG00000120500	Homo sapiens	2.8393907406960266	Muller Glia
ARR3	ENSG00000120500	Homo sapiens	2.697039153058269	Bipolar Cell
ARR3	ENSG00000120500	Macaca fascicularis	3.310819250194217	Microglia
ARR3	ENSG00000120500	Mus musculus	3.1230949626823286	Bipolar Cell
ARR3	ENSG00000120500	Macaca fascicularis	-3.1475026957346977	Amacrine Cell
ARR3	ENSG00000120500	Homo sapiens	2.8271015145502	Microglia
ARR3	ENSG00000120500	Homo sapiens	-2.494034596827713	Macrophage
ARR3	ENSG00000120500	Mus musculus	-2.5247427254543306	RPC
ARR3	ENSG00000120500	Homo sapiens	-1.7753529364109268	Melanocyte
ARR3	ENSG00000120500	Homo sapiens	2.25805281678263	Rod Bipolar Cell
ARR3	ENSG00000120500	Mus musculus	-2.307019014610387	Neurogenic Cell
ARR3	ENSG00000120500	Mus musculus	-1.4626650236323342	Retinal Ganglion Cell
ARR3	ENSG00000120500	Homo sapiens	-1.0725086512094133	Retinal Ganglion Cell
ARR3	ENSG00000120500	Homo sapiens	-1.5640590591638728	RPC
ARR3	ENSG00000120500	Mus musculus	1.1161184317357764	Amacrine Cell
ARR3	ENSG00000120500	Mus musculus	1.081170302324422	Muller Glia
ARR3	ENSG00000120500	Homo sapiens	0.6615594200453434	Amacrine Cell
ARR3	ENSG00000120500	Macaca fascicularis	-1.7731463194112544	Macrophage
ARR3	ENSG00000120500	Mus musculus	1.0336040766913968	Pericyte
ARR3	ENSG00000120500	Mus musculus	-1.0788526872987358	Macrophage
ARR3	ENSG00000120500	Homo sapiens	0.7394563404043141	Horizontal Cell
ARR3	ENSG00000120500	Mus musculus	-1.2000755867460817	AC/HC Precursor
ARR3	ENSG00000120500	Homo sapiens	-1.1363910648867768	AC/HC Precursor
ARR3	ENSG00000120500	Mus musculus	-1.0967056282046448	Rod Bipolar Cell
ARR3	ENSG00000120500	Homo sapiens	0.40627127411376784	Pericyte
ARR3	ENSG00000120500	Macaca fascicularis	0.7375783773494983	Pericyte
ARR3	ENSG00000120500	Homo sapiens	0.4687141452101393	Neurogenic Cell
ARR3	ENSG00000120500	Mus musculus	-0.9336284803816584	Melanocyte
ARR3	ENSG00000120500	Macaca fascicularis	1.5056276833154154	Horizontal Cell
ARR3	ENSG00000120500	Mus musculus	-0.0699340090086657	Microglia
ARR3	ENSG00000120500	Mus musculus	-0.043341944540236016	Horizontal Cell
ARR3	ENSG00000120500	Macaca fascicularis	0.5481377137784632	Melanocyte
ARR3	ENSG00000120500	Macaca fascicularis	-0.3859676121884979	Bipolar Cell
ATOH7	ENSG00000179774	Mus musculus	5.5636460519669075	Neurogenic Cell
ATOH7	ENSG00000179774	Homo sapiens	6.121099543482683	Neurogenic Cell
ATOH7	ENSG00000179774	Mus musculus	3.3643598962266066	Retinal Ganglion Cell
ATOH7	ENSG00000179774	Mus musculus	3.5187301162628497	Cone
ATOH7	ENSG00000179774	Homo sapiens	2.587143626815895	Retinal Ganglion Cell
ATOH7	ENSG00000179774	Homo sapiens	3.494565728980551	AC/HC Precursor
ATOH7	ENSG00000179774	Homo sapiens	1.6226745973090404	Rod
ATOH7	ENSG00000179774	Mus musculus	1.6016601151744865	Bipolar Cell
ATOH7	ENSG00000179774	Mus musculus	2.6823447571767662	AC/HC Precursor
ATOH7	ENSG00000179774	Homo sapiens	1.9831082444654635	Horizontal Cell
ATOH7	ENSG00000179774	Mus musculus	-2.3052175735213476	Muller Glia
ATOH7	ENSG00000179774	Homo sapiens	1.5962741480438196	Cone
ATOH7	ENSG00000179774	Homo sapiens	-2.070561473228726	Macrophage
ATOH7	ENSG00000179774	Mus musculus	1.7560890453560192	RPC
ATOH7	ENSG00000179774	Mus musculus	1.2975425298994039	Amacrine Cell
ATOH7	ENSG00000179774	Mus musculus	1.405303692505067	Rod
ATOH7	ENSG00000179774	Homo sapiens	1.2112022796810153	Amacrine Cell
ATOH7	ENSG00000179774	Homo sapiens	-1.2867414395245482	Melanocyte
ATOH7	ENSG00000179774	Mus musculus	-1.8735965663704648	Rod Bipolar Cell
ATOH7	ENSG00000179774	Homo sapiens	-1.1010093906345717	Pericyte
ATOH7	ENSG00000179774	Homo sapiens	0.6026381769420462	Bipolar Cell
ATOH7	ENSG00000179774	Homo sapiens	1.0432379660388171	RPC
ATOH7	ENSG00000179774	Mus musculus	-1.000044565166514	Pericyte
